lesson_number,date,lesson_content,notes,subject,grade
1,02.09.2024,Натуральні числа. Порівняння натуральних чисел,І семестр – 80 годин Тема 1. УЗАГАЛЬНЕННЯ ТА СИСТЕМАТИЗАЦІЯ ЗНАНЬ ЗА КУРС ПОЧАТКОВОЇ ШКОЛИ (12 год ) Натуральні числа. Порівняння натуральних чисел. Числові та буквені вирази. Рівняння. Геометричні фігури на площині - 12 год                                        ,Математика,5
2,03.09.2024,Арифметичні дії з натуральними числами,,Математика,5
3,03.09.2024,Арифметичні дії з натуральними числами,,Математика,5
4,05.09.2024,Поняття дробу. Порівняння дробів,,Математика,5
5,06.09.2024,Знаходження дробу від числа. Знаходження числа за значенням його дробу,,Математика,5
6,09.09.2024,"Величини: довжина, маса, місткість, час. Дії з величинами",,Математика,5
7,10.09.2024,"Величини: довжина, маса, місткість, час. Дії з величинами",,Математика,5
8,10.09.2024,Числові та буквені вирази. Рівняння,,Математика,5
9,12.09.2024,Числові та буквені вирази. Рівняння,,Математика,5
10,13.09.2024,Геометричні фігури на площині,,Математика,5
11,16.09.2024,Геометричні фігури на площині. Самостійна робота №1,,Математика,5
12,17.09.2024,Тематична контрольна (діагностична) робота №1,,Математика,5
13,17.09.2024,Натуральні числа. Число нуль. Цифри. Десятковий запис натуральних чисел,"Тема 2. НАТУРАЛЬНІ ЧИСЛА. ГЕОМЕТРИЧНІ ФІГУРИ І ВЕЛИЧИНИ (68 год ), Додавання і віднімання натуральних чисел – 13 год                                        ",Математика,5
14,19.09.2024,Натуральні числа. Число нуль. Цифри. Десятковий запис натуральних чисел,,Математика,5
15,20.09.2024,Порівняння натуральних чисел. Числові нерівності,,Математика,5
16,23.09.2024,Порівняння натуральних чисел. Числові нерівності,,Математика,5
17,24.09.2024,Округлення натуральних чисел.,,Математика,5
18,24.09.2024,Округлення натуральних чисел. Самостійна робота №2,,Математика,5
19,26.09.2024,Додавання натуральних чисел. Властивості додавання,,Математика,5
20,27.09.2024,Додавання натуральних чисел. Властивості додавання,,Математика,5
21,30.09.2024,Віднімання натуральних чисел. Властивості віднімання,,Математика,5
22,01.10.2024,Віднімання натуральних чисел. Властивості віднімання,,Математика,5
23,01.10.2024,Додавання і віднімання натуральних чисел. Самостійна робота №3,,Математика,5
24,03.10.2024,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
25,04.10.2024,Тематична контрольна (діагностична) робота №2,,Математика,5
26,07.10.2024,Множення натуральних чисел,Множення і ділення натуральних чисел — 13 годин,Математика,5
27,08.10.2024,Множення натуральних чисел,,Математика,5
28,08.10.2024,Властивості множення,,Математика,5
29,10.10.2024,Властивості множення,,Математика,5
30,11.10.2024,Властивості множення. Самостійна робота №4,,Математика,5
31,14.10.2024,Степінь натурального числа. Квадрат і куб натурального числа,,Математика,5
32,15.10.2024,Степінь натурального числа. Квадрат і куб натурального числа,,Математика,5
33,15.10.2024,Ділення натуральних чисел,,Математика,5
34,17.10.2024,Ділення натуральних чисел,,Математика,5
35,18.10.2024,Ділення з остачею,,Математика,5
36,21.10.2024,Ділення з остачею. Самостійна робота №5,,Математика,5
37,22.10.2024,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
