lesson_number,date,lesson_content,notes,subject,grade
1,06.09.2024,Повторення та систематизація вивченого матеріалу. Геометричні фігури,I СЕМЕСТР,Геометрія,7
2,13.09.2024,"Точка, пряма, відрізок. Вимірювання відрізків. Відстань між двома точками",,Геометрія,7
3,20.09.2024,Промінь. Кут. Вимірювання кутів. Бісектриса кута,,Геометрія,7
4,27.09.2024,Систематизація знань та підготовка до тематичної контрольної роботи,,Геометрія,7
5,04.10.2024,Тематична контрольна робота № 1,,Геометрія,7
6,11.10.2024,Суміжні кути та їх властивості,Тема 2. ВЗАЄМНЕ РОЗМІЩЕННЯ ПРЯМИХ НА ПЛОЩИНІ (9 годин),Геометрія,7
7,18.10.2024,"Вертикальні кути та їх властивості. Кут між двома прямими, що перетинаються",,Геометрія,7
8,25.10.2024,Паралельні та перпендикулярні прямі та їх властивості,,Геометрія,7
9,08.11.2024,Перпендикуляр. Відстань від точки до прямої,,Геометрія,7
10,15.11.2024,"Кути, утворені при перетині двох паралельних прямих січною",,Геометрія,7
11,22.11.2024,Ознаки паралельності прямих,,Геометрія,7
12,29.11.2024,Ознаки паралельності прямих,,Геометрія,7
13,06.12.2024,"Властивості кутів, утворених при перетині паралельних прямих січною",,Геометрія,7
14,13.12.2024,Розв’язування задач,,Геометрія,7
15,20.12.2024,Систематизація знань та підготовка до тематичної контрольної роботи,,Геометрія,7
16,27.12.2024,Тематична контрольна робота № 2,,Геометрія,7
17,17.01.2025,Трикутник і його елементи. Види трикутників. Рівність геометричних фігур. Рівність трикутників,II СЕМЕСТР Тема 3. ТРИКУТНИКИ. ОЗНАКИ РІВНОСТІ ТРИКУТНИКІВ (11 годин),Геометрія,7
18,24.01.2025,Перша та друга ознака рівності трикутників,,Геометрія,7
19,31.01.2025,"Рівнобедрений трикутник, його властивості та ознаки",,Геометрія,7
20,07.02.2025,"Медіана, бісектриса і висота трикутника",,Геометрія,7
21,14.02.2025,Третя ознака рівності трикутників,,Геометрія,7
22,21.02.2025,Сума кутів трикутника,,Геометрія,7
23,28.02.2025,Зовнішній кут трикутника та його властивості. Нерівність трикутника. Співвідношення між сторонами і кутами трикутника,,Геометрія,7
24,07.03.2025,Ознаки рівності прямокутних трикутників. Властивості прямокутних трикутників,,Геометрія,7
25,14.03.2025,Систематизація знань та підготовка до тематичної контрольної роботи,,Геометрія,7
26,21.03.2025,Тематична контрольна робота № 4,,Геометрія,7
27,04.04.2025,Коло. Круг. Дотична до кола та її властивості,Тема 4. КОЛО І КРУГ (9 годин),Геометрія,7
28,11.04.2025,Коло. Круг. Дотична до кола та її властивості,,Геометрія,7
29,18.04.2025,Основні задачі на побудову,,Геометрія,7
30,25.04.2025,Основні задачі на побудову,,Геометрія,7
31,02.05.2025,"Коло, описане навколо трикутника і вписане в трикутник. Геометричне місце точок",,Геометрія,7
32,09.05.2025,Систематизація знань та підготовка до тематичної контрольної роботи,,Геометрія,7
33,16.05.2025,Тематична контрольна робота № 5,,Геометрія,7
34,23.05.2025,Повторення та систематизація вивченого матеріалу,,Геометрія,7
35,30.05.2025,Підсумковий урок,,Геометрія,7
