lesson_number,date,lesson_content,notes,subject,grade
1,03.09.2024,Лінійна функція. Побудова графіка лінійної функції,Повторення навчального матеріалу з алгебри 7 класу (4 год.),,
2,05.09.2024,Лінійне рівняння. Системи двох лінійних рівнянь з двома змінними та їх розв’язок. Графічний спосіб розв’язування систем,,,
3,10.09.2024,Розв’язування систем лінійних рівнянь з двома змінними способом підстановки та додавання,,,
4,12.09.2024,Діагностична контрольна робота,,,
5,17.09.2024,Раціональні вирази. Раціональні дроби,Тема 1.РАЦІОНАЛЬНІ ВИРАЗИ ( 28год. ) Тема 1.1Раціональні  дроби. Додавання і віднімання дробів ( 10 год. ),,
6,19.09.2024,Основна властивість раціонального дробу,,,
7,24.09.2024,Основна властивість раціонального дробу. Розв’язування вправ,,,
8,26.09.2024,Основна властивість раціонального дробу. Розв’язування вправ,,,
9,01.10.2024,Додавання і віднімання дробів з однаковими знаменниками,,,
10,03.10.2024,Додавання і віднімання дробів з різними знаменниками,,,
11,08.10.2024,Додавання і віднімання дробів з різними знаменниками. Розв’язування вправ,,,
12,10.10.2024,Додавання і віднімання дробів з різними знаменниками. Розв’язування вправ. Самостійна робота,,,
13,15.10.2024,Аналіз самостійної роботи. Розв’язування вправ. Підготовка до контрольної роботи,,,
14,17.10.2024,Контрольна робота № 1 з теми «Раціональні дроби. Додавання і віднімання дробів »,,,
15,22.10.2024,Аналіз контрольної роботи. Множення раціональних дробів,Тема 1.2. Множення і ділення раціональних дробів (18 год.),,
16,24.10.2024,Множення і ділення раціональних дробів,,,
17,05.11.2024,Множення і ділення раціональних дробів. Піднесення раціонального дробу до степеня,,,
18,07.11.2024,Розв’язування вправ.,,,
19,12.11.2024,Тотожні перетворення раціональних виразів,,,
20,14.11.2024,Тотожні перетворення раціональних виразів. Самостійна робота,,,
21,19.11.2024,"Аналіз самостійної роботи. Розв’язування вправ, що містять типові помилки. Підготовка до контрольної роботи",,,
22,21.11.2024,"Контрольна робота № 2 з теми: «Множення, ділення та тотожні перетворення раціональних дробів»",,,
23,26.11.2024,"Аналіз контрольної роботи. Розвязування вправ, що містять типові помилки",,,
24,28.11.2024,Рівносильні рівняння. Раціональні рівняння.,,,
25,03.12.2024,Степінь із цілим від’ємним показником,,,
26,05.12.2024,Властивості степеня із цілим показником. Стандартний вигляд числа,,,
27,10.12.2024,Властивості степеня із цілим показником. Стандартний вигляд числа,,,
28,12.12.2024,"Функція у = k/x, її та властивості",,,
29,17.12.2024,Розвязування вправ. Самостійна робота,,,
30,19.12.2024,Аналіз самостійної роботи. Розв'язування вправ. Підготовка до контрольної роботи,,,
31,24.12.2024,"Контрольна робота № 3 з теми«Рівносильні та раціональні рівняння, степінь числа»",,,
32,26.12.2024,"Аналіз контрольної роботи. Розв’язування вправ, що містять типові помилки.",,,
33,14.01.2025,"Функція y = x2, її графік і властивості.",II семестр Тема 2. Квадратні корені. Дійсні числа (11 год),,
34,16.01.2025,Квадратні корені. Арифметичний квадратний корінь,,,
35,21.01.2025,Арифметичний квадратний корінь,,,
36,23.01.2025,Арифметичний квадратний корінь,,,
37,28.01.2025,Множина. Підмножина. Числові множини. Раціональні числа. Ірраціональні числа. Дійсні числа,,,
38,30.01.2025,Множина. Підмножина. Числові множини. Раціональні числа. Ірраціональні числа. Дійсні числа,,,
39,04.02.2025,Властивості арифметичного квадратного кореня.,,,
40,06.02.2025,"Тотожні перетворення виразів, що містять квадратні корені",,,
41,11.02.2025,"Тотожні перетворення виразів, що містять квадратні корені",,,
42,13.02.2025,"Функція квадратного кореня, її графік і властивості",,,
43,18.02.2025,Розв'язування вправ. Самостійна робота,,,
44,20.02.2025,Аналіз самостійної роботи. Розв'язування вправ. Підготовка до контрольної роботи,,,
45,25.02.2025,Контрольна робота № 3 з теми «Квадратні корені. Дійсні числа»,,,
46,27.02.2025,Аналіз контрольної роботи. Квадратні рівняння.,Тема 3. Квадратні рівняння (19 год.) Тема 3.1 Квадратні рівняння ( 9 год.),,
47,04.03.2025,Розв’язування неповних квадратних рівнянь,,,
48,06.03.2025,Формула коренів квадратного рівняння.,,,
49,11.03.2025,Розв'язування вправ.,,,
50,13.03.2025,Теорема Вієта.,,,
51,18.03.2025,Квадратне рівняння як математична модель текстових і прикладних задач,,,
52,20.03.2025,Розв'язування вправ. Самостійна робота,,,
53,01.04.2025,Аналіз самостійної роботи. Розв'язування вправ. Підготовка до контрольної роботи,,,
54,03.04.2025,Контрольна робота № 4 з теми «Квадратні рівняння»,,,
