lesson_number,date,lesson_content,notes,subject,grade
1,02.09.2024,Натуральні числа. Арифметичні дії з натуральними числами . Подільність натуральних чисел,І семестр  УЗАГАЛЬНЕННЯ ТА СИСТЕМАТИЗАЦІЯ ЗНАНЬ ЗА КУРС МАТЕМАТИКИ 5-6 класів (4 год ),Алгебра,7
2,05.09.2024,Десятковий дріб. Звичайні дроби. Арифметичні дії з дробами,,Алгебра,7
3,09.09.2024,Відсотки. Відношення і пропорції. Раціональні числа та дії з ними,,Алгебра,7
4,12.09.2024,Раціональні числа та дії з ними. Самостійна робота № 1,,Алгебра,7
5,16.09.2024,Загальні відомості про рівняння,Тема 1. ЛІНІЙНІ РІВНЯННЯ З ОДНІЄЮ ЗМІННОЮ (7 год ),Алгебра,7
6,19.09.2024,Лінійне рівняння з однією змінною,,Алгебра,7
7,23.09.2024,Лінійне рівняння з однією змінною,,Алгебра,7
8,26.09.2024,Розв’язування задач за допомогою лінійних рівнянь. Рівняння як математична модель задачі,,Алгебра,7
9,30.09.2024,Розв’язування задач за допомогою лінійних рівнянь. Рівняння як математична модель задачі,,Алгебра,7
10,03.10.2024,Самостійна робота № 2. Систематизація знань та підготовка до тематичного оцінювання,,Алгебра,7
11,07.10.2024,Тематична контрольна (діагностична) робота № 1,,Алгебра,7
12,10.10.2024,Вирази зі змінними. Цілі раціональні вирази. Числове значення виразу,Тема 2. ЦІЛІ ВИРАЗИ( 37 год ),Алгебра,7
13,14.10.2024,Тотожні перетворення виразів. Доведення тотожностей,,Алгебра,7
14,17.10.2024,Тотожні перетворення виразів. Доведення тотожностей,,Алгебра,7
15,21.10.2024,Степінь з натуральним показником,,Алгебра,7
16,24.10.2024,Степінь з натуральним показником,,Алгебра,7
17,04.11.2024,Властивості степеня з натуральним показником,,Алгебра,7
18,07.11.2024,Властивості степеня з натуральним показником,,Алгебра,7
19,11.11.2024,Самостійна робота № 3. Одночлен. Стандартний вигляд одночлена,,Алгебра,7
20,14.11.2024,Одночлен. Стандартний вигляд одночлена . Множення одночленів. Піднесення одночленів до степеня,,Алгебра,7
21,18.11.2024,Множення одночленів. Піднесення одночленів до степеня,,Алгебра,7
22,21.11.2024,Самостійна робота № 4.Систематизація знань та підготовка до тематичного оцінювання,,Алгебра,7
23,25.11.2024,Тематична контрольна (діагностична) робота № 2 Одночлени та дії з ними ,,Алгебра,7
24,28.11.2024,Многочлен. Подібні члени многочлена та їх зведення. Степінь многочлена,,Алгебра,7
25,02.12.2024,Додавання і віднімання многочленів,,Алгебра,7
26,05.12.2024,Додавання і віднімання многочленів. Множення одночлена на многочлен,,Алгебра,7
27,09.12.2024,Множення одночлена на многочлен,,Алгебра,7
28,12.12.2024,Множення одночлена на многочлен. Самостійна робота № 5.,,Алгебра,7
29,16.12.2024,Розкладання многочленів на множники способом винесення спільного множника за дужки,,Алгебра,7
30,19.12.2024,Розкладання многочленів на множники способом винесення спільного множника за дужки,,Алгебра,7
31,23.12.2024,Множення многочлена на многочлен,,Алгебра,7
32,26.12.2024,Множення многочлена на многочлен,,Алгебра,7
33,14.01.2025,Множення многочлена на многочлен. Розкладання многочленів на множники способом групування,II СЕМЕСТР,Алгебра,7
34,16.01.2025,Розкладання многочленів на множники способом групування.,,Алгебра,7
35,21.01.2025,Самостійна робота № 6. Систематизація знань та підготовка до тематичного оцінювання,,Алгебра,7
36,23.01.2025,Тематична контрольна(діагностична)  робота № 3,,Алгебра,7
37,28.01.2025,Квадрат суми та квадрат різниці,,Алгебра,7
38,30.01.2025,Квадрат суми та квадрат різниці,,Алгебра,7
39,04.02.2025,Розкладання многочленів на множники за допомогою формул квадрата суми та квадрата різниці,,Алгебра,7
40,06.02.2025,Розкладання многочленів на множники за допомогою формул квадрата суми та квадрата різниці .Множення різниці двох виразів на їх суму,,Алгебра,7
41,11.02.2025,Множення різниці двох виразів на їх суму,,Алгебра,7
42,13.02.2025,Самостійна робота № 7.Розкладання на множники різниці квадратів двох виразів,,Алгебра,7
43,18.02.2025,Розкладання на множники різниці квадратів двох виразів,,Алгебра,7
44,20.02.2025,Сума і різниця кубів,,Алгебра,7
45,25.02.2025,Сума і різниця кубів. Застосування кількох способів розкладання многочленів на множники.,,Алгебра,7
46,27.02.2025,Застосування кількох способів розкладання многочленів на множники,,Алгебра,7
47,04.03.2025,Самостійна робота № 8.Систематизація знань та підготовка до тематичного оцінювання,,Алгебра,7
48,06.03.2025,Тематична контрольна(діагностична)  робота № 4,,Алгебра,7
49,11.03.2025,Означення функції. Область визначення та область значень функції. Способи задання функції. Функціональна залежність між величинами як математична модель реальних явищ,Тема 3. ФУНКЦІЇ ( 7 год ),Алгебра,7
50,13.03.2025,Означення функції. Область визначення та область значень функції. Способи задання функції. Функціональна залежність між величинами як математична модель реальних явищ. Графік функції.,,Алгебра,7
51,18.03.2025,Графік функції. Графічний спосіб задання функції,,Алгебра,7
52,20.03.2025,"Лінійна функція, її графік та властивості",,Алгебра,7
53,01.04.2025,"Лінійна функція, її графік та властивості",,Алгебра,7
54,03.04.2025,Самостійна робота № 9.Систематизація знань. Підготовка до контрольної роботи,,Алгебра,7
55,08.04.2025,Тематична контрольна (діагностична) робота № 5,,Алгебра,7
